N,P,K,temperature,humidity,ph,rainfall,target_crop,Moisture,Soil Type,Fertilizer Name,Yield_Score,Risk_Score
91.0,56.0,37.0,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,41.0,,Organic Manure,0.2514666666666666,0.5867412801041654
61.0,52.0,41.0,24.97669518,83.891805,6.880431223,204.8001847,rice,41.0,,Organic Manure,0.2104666666666666,0.2988824057878872
67.0,45.0,38.0,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,41.0,,Organic Manure,0.205,0.4181848108075874
79.0,42.0,37.0,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,41.0,,Organic Manure,0.2159333333333333,0.5587088811064279
78.0,43.0,42.0,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,41.0,,Organic Manure,0.2227666666666666,0.3588877774531098
75.0,54.0,36.0,26.29465461,84.56919326,7.023936392,257.4914906,rice,41.0,,Organic Manure,0.2255,0.4620237663333775
97.0,36.0,45.0,22.2286982,81.85872947,6.939083505,278.0791793,rice,41.0,,Organic Manure,0.2432666666666666,0.6453278062427651
67.0,47.0,44.0,26.73072391,81.78596776,7.868474653,280.4044392,rice,41.0,,Organic Manure,0.1511533333333332,0.4494691192158788
73.0,35.0,38.0,24.88921174,81.97927117,5.005306977,185.9461429,rice,41.0,,Organic Manure,0.1396733333333333,0.324750782076578
77.0,36.0,37.0,26.88444878,81.46033732,6.136131869,194.5766559,rice,41.0,,Organic Manure,0.205,0.3584442612131542
81.0,41.0,38.0,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,41.0,,Organic Manure,0.1530666666666666,0.389344380619472
68.0,57.0,43.0,26.08867875,80.37979919,5.706943251,182.9043504,rice,41.0,,Organic Manure,0.16072,0.2975590197795639
72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,rice,41.0,,Organic Manure,0.1454133333333333,0.3365136265204134
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,rice,41.0,,Organic Manure,0.2145666666666666,0.3259788203363862
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,41.0,,Organic Manure,0.1425433333333333,0.2993533593328271
67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,rice,41.0,,Organic Manure,0.1568933333333333,0.3528303509115356
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,41.0,,Organic Manure,0.2241333333333333,0.3659135923126581
82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,rice,41.0,,Organic Manure,0.1559366666666666,0.4753768406889013
84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,41.0,,Organic Manure,0.1702866666666666,0.3670716714532375
81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,rice,41.0,,Organic Manure,0.1683733333333333,0.4528875709955275
91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,41.0,,Organic Manure,0.2473666666666666,0.5012248311933358
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,41.0,,Organic Manure,0.2514666666666666,0.6467513479664373
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,41.0,,Organic Manure,0.2350666666666666,0.5193527281821224
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,41.0,,Organic Manure,0.2200333333333333,0.4242319781160035
78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,rice,41.0,,Organic Manure,0.1492399999999999,0.4632137356916544
60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,41.0,,Organic Manure,0.2009,0.3689084390181485
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,rice,41.0,,Organic Manure,0.2405333333333333,0.4089948036105564
93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,41.0,,Organic Manure,0.2418999999999999,0.6584224030525444
60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,41.0,,Organic Manure,0.1530666666666666,0.4128051508994429
78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,rice,41.0,,Organic Manure,0.2145666666666666,0.3426574004719263
65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,rice,41.0,,Organic Manure,0.1358466666666666,0.2929988565392171
71.0,54.0,16.0,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,41.0,,Organic Manure,0.1348899999999999,0.1490708923368794
61.0,44.0,17.0,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,41.0,,Organic Manure,0.1667333333333333,0.1492458672917021
80.0,43.0,16.0,23.55882094,71.59351368,6.657964753,66.71995467,maize,41.0,,Organic Manure,0.1899666666666666,0.1276985308758031
73.0,58.0,21.0,19.97215954,57.68272924,6.596060648,60.65171481,maize,41.0,,Organic Manure,0.2077333333333333,0.1059268641534863
61.0,38.0,20.0,18.47891261,62.69503871,5.970458434,65.43835393,maize,41.0,,Organic Manure,0.1138433333333333,0.095499780344669
68.0,41.0,16.0,21.77689322,57.80840636,6.158830619,102.0861694,maize,41.0,,Organic Manure,0.1708333333333333,0.1660794859897138
93.0,41.0,17.0,25.6217169,66.50415474,6.047906679,105.4654703,maize,41.0,,Organic Manure,0.2063666666666666,0.2346569456676151
89.0,60.0,19.0,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,41.0,,Organic Manure,0.16072,0.1662242227745927
76.0,44.0,17.0,20.41683147,62.55424820000001,5.855442401,65.27798457,maize,41.0,,Organic Manure,0.1310633333333333,0.118691741187243
67.0,60.0,25.0,24.92162194,66.78627406,5.750254943,109.2162279,maize,41.0,,Organic Manure,0.1454133333333333,0.1750661362507191
70.0,44.0,19.0,23.31689124,73.4541537,5.852607099,94.29712821,maize,41.0,,Organic Manure,0.1272366666666666,0.1579198336998243
90.0,49.0,21.0,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize,41.0,,Organic Manure,0.2186666666666666,0.1594540656910461
62.0,52.0,16.0,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,41.0,,Organic Manure,0.1776666666666666,0.0947393011124468
92.0,44.0,16.0,18.87751445,65.76816093,6.082973754,94.76189431,maize,41.0,,Organic Manure,0.2077333333333333,0.208574750360429
66.0,54.0,21.0,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,41.0,,Organic Manure,0.1348899999999999,0.1138839286860112
63.0,58.0,22.0,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,41.0,,Organic Manure,0.1954333333333333,0.0960463572064343
70.0,47.0,17.0,24.612911800000006,70.4162444,6.600827017,104.1626147,maize,41.0,,Organic Manure,0.1831333333333333,0.1744416092346963
61.0,41.0,17.0,25.1420613,65.26185135,6.021902237000001,76.68456006,maize,41.0,,Organic Manure,0.1626333333333333,0.1119123297231993
66.0,53.0,19.0,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,41.0,,Organic Manure,0.1886,0.103420718971759
74.0,55.0,19.0,18.05033737,62.89366992,6.28886807,84.23613484,maize,41.0,,Organic Manure,0.2022666666666666,0.1491318214319576
77.0,57.0,21.0,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,41.0,,Organic Manure,0.2118333333333333,0.146896488793417
99.0,50.0,15.0,18.14710054,71.09445342,5.573286437,88.07753741,maize,41.0,,Organic Manure,0.1568933333333333,0.208612596939423
74.0,56.0,22.0,18.28362235,66.65952796,6.829199275,80.97573281,maize,41.0,,Organic Manure,0.2077333333333333,0.143359599163475
83.0,45.0,21.0,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,41.0,,Organic Manure,0.1425433333333333,0.1583677947397454
100.0,48.0,16.0,25.71895816,67.22190688,5.54990242,74.51490791,maize,41.0,,Organic Manure,0.1568933333333333,0.1782720835827262
79.0,51.0,16.0,25.33797709,68.49835977,6.586244581,96.46380213,maize,41.0,,Organic Manure,0.1995333333333333,0.1823188774958961
94.0,39.0,18.0,23.89114571,57.48775781,5.893093135,102.8301942,maize,41.0,,Organic Manure,0.1444566666666666,0.2312536951337064
75.0,49.0,15.0,21.53574127,71.50905983,5.918263801,102.4852929,maize,41.0,,Organic Manure,0.1329766666666666,0.1838920614778458
78.0,48.0,22.0,23.08974909,63.10459626,5.588650585,70.43473609,maize,41.0,,Organic Manure,0.1415866666666666,0.131438218995495
87.0,54.0,20.0,25.61707368,63.4711755,6.576418207000001,108.8303762,maize,41.0,,Organic Manure,0.2200333333333333,0.2265215654934219
87.0,35.0,25.0,21.44526922,63.1621551,6.178056304,65.88951188,maize,41.0,,Organic Manure,0.2009,0.1371436532868938
63.0,43.0,19.0,18.51816776,55.53128131,6.641906353,90.988051,maize,41.0,,Organic Manure,0.1708333333333333,0.1371402962085182
84.0,57.0,25.0,22.53510514,67.99257471,6.489040367,64.40866039,maize,41.0,,Organic Manure,0.2268666666666666,0.1294385752443978
64.0,35.0,23.0,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,41.0,,Organic Manure,0.1167133333333333,0.0965218330437492
60.0,46.0,22.0,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,41.0,,Organic Manure,0.1749333333333333,0.1262198178323571
98.0,44.0,21.0,25.77175115,74.089114,6.524478032,107.4931917,maize,41.0,,Organic Manure,0.2227666666666666,0.2520270785665135
75.0,56.0,18.0,19.39851734,62.35750641,5.696205468,60.95197486,maize,41.0,,Organic Manure,0.1425433333333333,0.1093677345400964
86.0,55.0,21.0,21.54156232,59.64024162,6.803931519,109.7515385,maize,41.0,,Organic Manure,0.2214,0.2258131554407248
98.0,35.0,18.0,23.79746068,74.82913698,6.252797547999999,91.76337172,maize,41.0,,Organic Manure,0.2063666666666666,0.2151471560966276
76.0,57.0,18.0,18.9802729,74.52600826,6.092725883,94.26249353,maize,41.0,,Organic Manure,0.2063666666666666,0.1713928449143436
99.0,56.0,17.0,24.10859207,73.13112261,6.234330356,71.07562236,maize,41.0,,Organic Manure,0.2350666666666666,0.1683433778420091
60.0,44.0,23.0,24.7947077,70.04556743,5.722579819,76.72860067,maize,41.0,,Organic Manure,0.1214966666666666,0.1101409199486551
74.0,48.0,17.0,21.63162756,60.27766379,6.430616465,69.21803098,maize,41.0,,Organic Manure,0.1899666666666666,0.1225437403507184
89.0,60.0,17.0,25.37548751,57.21025565,5.983952675,101.7004306,maize,41.0,,Organic Manure,0.1588066666666666,0.2165473980151226
69.0,51.0,23.0,22.21738222,72.85462807,6.80163854,106.6213157,maize,41.0,,Organic Manure,0.1954333333333333,0.1760083612760885
96.0,46.0,22.0,20.58314011,69.00128641,6.499936446,66.29390357,maize,41.0,,Organic Manure,0.2241333333333333,0.1522597094158575
61.0,60.0,15.0,24.87502824,68.74248334,6.265564338,91.26056654,maize,41.0,,Organic Manure,0.1858666666666666,0.1331843412201803
74.0,58.0,18.0,20.03728219,56.35606753,6.727303282,109.024141,maize,41.0,,Organic Manure,0.205,0.1930165570662426
74.0,43.0,23.0,25.95263264,61.89082199,6.325235159,99.57981207,maize,41.0,,Organic Manure,0.1913333333333333,0.176296298257969
63.0,43.0,17.0,19.28889933,65.47050802,6.807487794,71.3195307,maize,41.0,,Organic Manure,0.1680999999999999,0.1074952310567737
99.0,36.0,20.0,20.57981887,65.34583901,6.671085817000001,78.34604471,maize,41.0,,Organic Manure,0.2118333333333333,0.1855634515620507
77.0,36.0,23.0,24.71417533,56.73426469,6.648725327,88.45361858,maize,41.0,,Organic Manure,0.1858666666666666,0.162947049412921
87.0,60.0,23.0,20.27317074,63.91281869,6.439071996,62.50351892,maize,41.0,,Organic Manure,0.2323333333333333,0.1300959846779075
60.0,38.0,17.0,18.41932981,64.23580251,6.474476516,76.41312437,maize,41.0,,Organic Manure,0.1571666666666666,0.1096880659984907
94.0,54.0,17.0,23.39128187,61.74427165,5.871647806,107.3198135,maize,41.0,,Organic Manure,0.15785,0.2413503507021018
95.0,38.0,22.0,19.84939404,61.24500053,5.730617109,100.7689246,maize,41.0,,Organic Manure,0.1482833333333333,0.2290289597083528
84.0,44.0,21.0,21.869274,61.91044947,5.850439831,107.2681929,maize,41.0,,Organic Manure,0.1425433333333333,0.2155710423713911
77.0,58.0,19.0,22.8056033,56.50768935,5.791649933,101.5952794,maize,41.0,,Organic Manure,0.1473266666666666,0.1871562891182209
66.0,44.0,20.0,19.0781471,69.02298571,6.740000687999999,80.72515943,maize,41.0,,Organic Manure,0.1776666666666666,0.1274656069507628
63.0,35.0,16.0,22.02720976,65.35549924,6.272417541,83.73280082,maize,41.0,,Organic Manure,0.1558,0.126204935490086
79.0,45.0,20.0,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize,41.0,,Organic Manure,0.1377599999999999,0.1700306976725191
72.0,60.0,25.0,18.52510753,69.0276233,5.773454729,88.10234397,maize,41.0,,Organic Manure,0.1501966666666666,0.1517609829412568
67.0,51.0,24.0,23.50297882,61.32026065,5.584171461,64.77791424,maize,41.0,,Organic Manure,0.1358466666666666,0.1038345617535948
86.0,36.0,24.0,26.54986394,72.89187265,5.787268394,73.33636055,maize,41.0,,Organic Manure,0.1396733333333333,0.1508891375070263
76.0,48.0,18.0,19.29563411,69.63481219,5.77597783,83.21030571,maize,41.0,,Organic Manure,0.1358466666666666,0.1512971966659277
75.0,53.0,18.0,20.68899915,59.4375337,6.864793607,103.651438,maize,41.0,,Organic Manure,0.1995333333333333,0.1859845063580154
81.0,45.0,23.0,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize,41.0,,Organic Manure,0.2036333333333333,0.1632263997735732
73.0,45.0,21.0,24.60532218,73.58868502,6.636803222999999,96.59195302,maize,41.0,,Organic Manure,0.1899666666666666,0.1686956868065752
71.0,35.0,24.0,22.27373646,59.52193158,5.826426917,67.96704792,maize,41.0,,Organic Manure,0.1243666666666666,0.1154507948427314
96.0,54.0,22.0,25.70196694,61.33450447,6.960358276,83.20711308,maize,41.0,,Organic Manure,0.2350666666666666,0.1911049157863491
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,maize,41.0,,Organic Manure,0.2132,0.2080758594977824
62.0,48.0,20.0,21.70181447,60.47470519,6.708446922,95.71388473,maize,41.0,,Organic Manure,0.1776666666666666,0.1419733415106447
86.0,37.0,16.0,20.51716779,59.21235483,5.561510732,67.61013737,maize,41.0,,Organic Manure,0.1329766666666666,0.1391074664461361
94.0,50.0,19.0,23.30355338,73.62548442,5.873242491,97.59081274,maize,41.0,,Organic Manure,0.1559366666666666,0.2194709076726279
76.0,39.0,24.0,24.2547451,55.64709899,6.995843776,64.23845455,maize,41.0,,Organic Manure,0.1899666666666666,0.1168016149999386
77.0,52.0,17.0,24.86374934,65.7420046,5.714799723,75.82270467,maize,41.0,,Organic Manure,0.1396733333333333,0.1396786949231422
74.0,39.0,23.0,22.6265115,65.77472881,6.78073637,88.17251033,maize,41.0,,Organic Manure,0.1858666666666666,0.1561007884646787
81.0,49.0,20.0,18.04185513,60.61494304,5.513697923,104.2321615,maize,41.0,,Organic Manure,0.1435,0.2019886349426522
63.0,42.0,21.0,23.26237612,72.33125523,5.798423907999999,67.10225139,maize,41.0,,Organic Manure,0.1205399999999999,0.1011388037302069
99.0,38.0,21.0,22.88330922,71.59722446,6.352471866,67.72777298,maize,41.0,,Organic Manure,0.2159333333333333,0.1604139604915583
90.0,52.0,25.0,25.97482359,69.36385721,6.822586546,103.2234212,maize,41.0,,Organic Manure,0.2282333333333333,0.2222598054429404
68.0,40.0,19.0,26.14384005,66.20569924,6.655426355,107.2361366,maize,41.0,,Organic Manure,0.1735666666666666,0.1744577404630361
60.0,57.0,24.0,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize,41.0,,Organic Manure,0.1926999999999999,0.1077061999605968
71.0,52.0,18.0,25.10787449,55.97732754,5.790770202999999,78.16077693,maize,41.0,,Organic Manure,0.1348899999999999,0.1327661579875474
61.0,59.0,17.0,23.33844615,59.24580604,6.47444292,105.0083144,maize,41.0,,Organic Manure,0.1872333333333333,0.1532476041541521
88.0,38.0,15.0,25.08239719,65.92195844,6.455116637000001,62.49190812,maize,41.0,,Organic Manure,0.1926999999999999,0.131566896108094
65.0,60.0,22.0,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize,41.0,,Organic Manure,0.2009,0.1678127383100897
78.0,37.0,22.0,25.34217103,63.31801994,6.330554389,74.52082026,maize,41.0,,Organic Manure,0.1872333333333333,0.1390632582273341
78.0,58.0,15.0,25.00933355,67.816568,6.5286312660000005,62.91359494,maize,41.0,,Organic Manure,0.2063666666666666,0.1174030219826665
92.0,60.0,23.0,18.66746724,71.516474,5.721667141,69.93293255,maize,41.0,,Organic Manure,0.1674166666666666,0.1539252043745786
79.0,59.0,17.0,20.37999665,63.73849998,6.644205485,108.5054416,maize,41.0,,Organic Manure,0.2118333333333333,0.2050778621399184
91.0,55.0,15.0,18.09300227,72.61024172,6.376651091,78.96159541,maize,41.0,,Organic Manure,0.2200333333333333,0.1719085504328956
76.0,51.0,18.0,26.16985907,71.96246617,6.247040422,79.84925393,maize,41.0,,Organic Manure,0.1981666666666666,0.1451859619117221
87.0,48.0,25.0,18.65396672,61.37879671,6.656730007999999,93.62039175,maize,41.0,,Organic Manure,0.2186666666666666,0.1948632214809659
71.0,60.0,22.0,26.07470121,59.37147589,6.2048017,85.75692395,maize,41.0,,Organic Manure,0.2090999999999999,0.1456691931794464
90.0,57.0,24.0,18.92851916,72.80086137,6.158860284,82.34162918,maize,41.0,,Organic Manure,0.2336999999999999,0.1772973058695863
67.0,35.0,22.0,23.30546753,63.24648023,6.385684213999999,108.7603001,maize,41.0,,Organic Manure,0.1694666666666666,0.1743353152006791
60.0,54.0,19.0,18.74826712,62.49878458,6.417820493,70.23401597,maize,41.0,,Organic Manure,0.1817666666666666,0.1008181963840881
83.0,58.0,23.0,19.74213321,59.66263104,6.381201909,65.50861389,maize,41.0,,Organic Manure,0.2241333333333333,0.1300818407648072
83.0,57.0,19.0,25.73044432,70.74739256,6.877869005,98.73771338,maize,41.0,,Organic Manure,0.2173,0.196065566750436
